"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2025","26.34","22.99","26.77","22.60","10.36M","7.73%"
"04/07/2025","24.45","22.11","24.95","21.12","9.72M","9.84%"
"04/04/2025","22.26","21.98","22.47","21.03","12.54M","14.21%"
"04/03/2025","19.49","19.03","19.83","18.72","7.63M","-4.74%"
"04/02/2025","20.46","20.46","20.74","19.84","5.48M","-3.67%"
"04/01/2025","21.24","20.44","21.46","20.26","5.10M","8.53%"
"03/31/2025","19.57","18.66","20.32","18.61","6.65M","-2.39%"
"03/28/2025","20.05","21.81","22.59","20.01","8.48M","-8.91%"
"03/27/2025","22.01","22.58","23.13","21.42","8.10M","-2.65%"
"03/26/2025","22.61","22.03","22.65","21.43","5.90M","1.89%"
"03/25/2025","22.19","21.27","22.87","21.22","6.99M","3.16%"
"03/24/2025","21.51","20.70","21.61","20.47","6.15M","1.89%"
"03/21/2025","21.11","20.38","21.20","20.11","7.85M","3.08%"
"03/20/2025","20.48","19.33","20.67","19.13","8.79M","10.17%"
"03/19/2025","18.59","19.22","19.60","18.22","12.53M","-9.10%"
"03/18/2025","20.45","19.97","20.45","19.56","7.82M","-1.45%"
"03/17/2025","20.75","20.38","20.92","19.50","6.90M","5.33%"
"03/14/2025","19.70","20.82","21.01","19.39","8.63M","-2.67%"
"03/13/2025","20.24","20.90","21.04","18.83","11.73M","0.75%"
"03/12/2025","20.09","19.05","20.14","18.89","13.31M","13.44%"
"03/11/2025","17.71","16.61","17.80","16.60","9.19M","4.36%"
"03/10/2025","16.97","16.84","17.28","16.20","13.16M","-5.14%"
"03/07/2025","17.89","19.50","19.59","17.46","13.50M","-3.51%"
"03/06/2025","18.54","17.85","18.79","17.84","13.81M","6.74%"
"03/05/2025","17.37","18.82","18.84","17.19","14.19M","-4.03%"
"03/04/2025","18.10","17.95","18.49","16.40","20.35M","-10.66%"
"03/03/2025","20.26","23.04","23.27","19.88","12.79M","-14.95%"
"02/28/2025","23.82","23.20","23.85","22.89","8.21M","4.52%"
"02/27/2025","22.79","21.97","22.88","21.31","10.33M","3.36%"
"02/26/2025","22.05","21.74","22.52","21.64","7.13M","4.50%"
"02/25/2025","21.10","21.98","22.33","20.75","6.69M","-5.00%"
"02/24/2025","22.21","22.50","22.90","22.09","8.66M","6.57%"
"02/21/2025","20.84","20.19","21.31","19.36","18.52M","-2.34%"
"02/20/2025","21.34","21.37","22.23","21.21","11.56M","7.78%"
"02/19/2025","19.80","21.50","21.59","19.60","20.76M","-14.17%"
"02/18/2025","23.07","26.50","26.77","22.71","14.31M","-12.78%"
"02/14/2025","26.45","26.70","26.70","25.55","7.58M","-4.79%"
"02/13/2025","27.78","26.67","28.05","25.56","9.85M","-2.80%"
"02/12/2025","28.58","28.64","29.64","28.18","5.07M","-1.99%"
"02/11/2025","29.16","29.00","29.41","28.24","6.25M","-4.08%"
"02/10/2025","30.40","31.83","32.25","29.70","6.15M","-8.18%"
"02/07/2025","33.11","32.06","33.34","31.45","3.77M","4.55%"
"02/06/2025","31.67","33.11","33.28","30.81","5.09M","-0.91%"
"02/05/2025","31.96","35.44","35.44","31.94","5.71M","-8.53%"
"02/04/2025","34.94","36.00","36.03","33.22","5.34M","6.72%"
"02/03/2025","32.74","33.75","34.12","31.16","9.18M","-18.60%"
"01/31/2025","40.22","41.38","41.84","39.83","3.28M","-0.52%"
"01/30/2025","40.43","38.88","40.97","37.91","3.97M","7.21%"
"01/29/2025","37.71","37.88","39.62","37.19","4.01M","-5.49%"
"01/28/2025","39.90","38.58","39.91","37.38","4.91M","10.40%"
"01/27/2025","36.14","35.81","37.49","35.68","6.54M","10.59%"
"01/24/2025","32.68","33.57","34.34","31.99","4.33M","1.62%"
"01/23/2025","32.16","30.56","33.10","30.01","6.42M","3.08%"
"01/22/2025","31.20","33.84","34.10","30.98","4.95M","-9.04%"
"01/21/2025","34.30","33.39","34.86","33.04","3.93M","6.19%"
"01/17/2025","32.30","31.90","32.56","30.60","6.07M","14.86%"
"01/16/2025","28.12","31.26","32.35","27.77","10.11M","-9.29%"
"01/15/2025","31.00","32.78","33.44","30.71","7.35M","-8.50%"
"01/14/2025","33.88","36.00","36.08","33.30","5.22M","-0.50%"
"01/13/2025","34.05","34.11","35.44","33.01","4.52M","-2.13%"
"01/10/2025","34.79","35.42","36.22","34.63","6.52M","-13.50%"
"01/08/2025","40.22","42.51","42.69","40.03","4.48M","-9.54%"
"01/07/2025","44.46","42.36","44.72","41.50","3.70M","6.44%"
